"pathway","NES","padj","gene","gene_log2FC","gene_padj"
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"ABI3BP",-3.92593960471013,1.71327769923472e-200
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"VCAM1",-3.70225048286617,4.51312467541353e-112
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"COL8A1",-3.6564954861073,1.10621260980863e-82
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"ITGB4",-3.63919859917277,3.70200440361704e-156
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"CDH11",-3.51266605280108,1.84652099612702e-194
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"AJUBA",-3.30499069168193,2.31864857416459e-125
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"NTN4",-3.22993516123233,4.54647113214138e-73
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"EPHA3",-3.15926590086563,1.5599374742183e-148
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"ITGB8",-3.13290375568598,1.00113019720093e-161
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"LIMCH1",-3.1060039256628,3.32694622750626e-149
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"NDNF",-3.05974949648088,1.51311450628741e-15
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"DOCK1",-2.60720633264655,1.25521458925796e-82
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"FN1",-2.51778637847426,2.59161713560113e-84
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"CDK6",-2.50416652567573,5.2950036925613e-94
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"RIN2",-2.35208958768779,5.02842115684272e-61
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"CCDC80",-2.34334935766562,1.73043385340658e-60
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"CD36",-2.27985808946027,4.21974463846323e-05
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"VEGFA",-2.21874261636616,4.64691965500033e-63
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"ANGPTL3",-2.21727597619546,1.04150824547337e-14
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"ITGBL1",-2.20640017086012,9.80373456275111e-10
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"EMP2",-2.20170279455352,6.65006416677475e-40
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"PTPRK",-2.19224173975252,1.78358748022065e-66
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"ANGPT1",-2.08196143987336,4.62469190763532e-19
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"RAC3",-2.00030859160283,1.69522089774315e-09
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"AXL",-1.90267608654883,4.26102651988423e-46
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"PTPRO",-1.77249482845024,4.85155592405729e-06
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"MYADM",-1.77170868554818,2.13297231631144e-37
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"ITGA4",-1.73776555889135,5.8236348763513e-25
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"SDC4",-1.71931164630496,2.70043276572579e-33
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"NRP1",-1.70287836120004,1.2636777817167e-49
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"CD34",-1.69716234588557,2.28098056324323e-06
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"HAS2",-1.64387235215349,1.67585006751067e-29
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"EFNA1",-1.62768617892529,7.74066608402689e-15
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"SORBS1",-1.59959498813294,6.93438770274479e-34
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"PLEKHA2",-1.58706625670174,7.45483548480844e-35
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"DUSP3",-1.56952449088774,4.35844206484197e-30
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"TRIP6",-1.56810853381815,3.90311528766236e-19
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"KIF14",-1.54676235355272,4.75671192534173e-22
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"FBLN1",-1.53655109648219,2.12318043207845e-16
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"TRIOBP",-1.52609539007947,1.88229241810948e-26
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"COL5A3",-1.49568002046231,0.272558555404209
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"FOXF1",-1.48042557740564,0.0453690654280987
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"MMP14",-1.42341006552546,1.91381872159422e-25
"GOBP_CELL_SUBSTRATE_ADHESION",-1.40541252474614,0.0465794184812716,"HOXD3",-1.40776386777714,8.11199205270224e-16
